Time[ms],HR[bpm]
833,96.77419
867,96.77419
900,96.77419
933,96.77419
967,96.77419
1000,96.77419
1033,96.77419
1067,96.77419
1100,96.77419
1133,96.77419
1167,96.42857
1200,95.74468
1233,95.74468
1267,95.74468
1300,95.74468
1333,95.74468
1367,95.74468
1400,95.74468
1433,95.74468
1467,95.74468
1500,95.74468
1533,95.74468
1567,95.74468
1600,95.74468
1633,95.74468
1667,95.74468
1700,95.74468
1733,95.74468
1767,96.25668
1800,96.25668
1833,96.25668
1867,96.25668
1900,96.25668
1933,96.25668
1967,96.25668
2000,96.25668
2033,96.25668
2067,96.25668
2100,96.25668
2133,96.25668
2167,96.25668
2200,96.25668
2233,96.25668
2267,98.0198
2300,98.0198
2333,98.0198
2367,96.77419
2400,96.77419
2433,96.77419
2467,96.77419
2500,96.77419
2533,96.77419
2567,96.77419
2600,96.77419
2633,96.77419
2667,96.77419
2700,96.77419
2733,96.77419
2767,96.77419
2800,98.0198
2833,98.0198
2867,98.0198
2900,101.6949
2933,101.6949
2967,101.6949
3000,101.6949
3033,101.6949
3067,101.6949
3100,101.6949
3133,101.6949
3167,101.6949
3200,101.6949
3233,101.6949
3267,101.6949
3300,101.6949
3333,101.6949
3367,101.6949
3400,101.6949
3433,101.6949
3467,101.6949
3500,100.0
3533,100.0
3567,100.0
3600,100.0
3633,100.0
3667,100.0
3700,100.0
3733,98.9011
3767,98.9011
3800,98.9011
3833,98.9011
3867,98.9011
3900,98.9011
3933,98.9011
3967,98.9011
4000,98.9011
4033,98.9011
4067,98.9011
4100,98.9011
4133,98.50746
4167,98.50746
4200,98.50746
4233,98.50746
4267,96.25668
4300,96.25668
4333,96.25668
4367,96.25668
4400,96.25668
4433,96.25668
4467,96.25668
4500,96.25668
4533,96.25668
4567,96.25668
4600,96.25668
4633,96.25668
4667,97.53695
4700,97.53695
4733,97.29729
4767,97.29729
4800,97.29729
4833,97.82609
4867,97.82609
4900,97.82609
4933,97.82609
4967,97.82609
5000,97.82609
5033,101.0204
5067,101.0204
5100,101.0204
5133,101.0204
5167,100.5076
5200,100.5076
5233,100.5076
5267,109.6447
5300,109.6447
5333,115.7895
5367,115.7895
5400,115.7895
5433,115.7895
5467,115.7895
5500,117.3913
5533,117.3913
5567,117.3913
5600,117.3913
5633,117.3913
5667,117.3913
5700,117.3913
5733,117.3913
5767,117.3913
5800,117.3913
5833,117.3913
5867,117.3913
5900,117.3913
5933,117.3913
5967,117.3913
6000,117.5879
6033,117.5879
6067,117.5879
6100,117.5879
6133,117.5879
6167,117.5879
6200,118.6813
6233,118.6813
6267,118.6813
6300,118.6813
6333,118.6813
6367,118.6813
6400,118.6813
6433,118.6813
6467,119.3878
6500,119.3878
6533,119.3878
6567,119.3878
6600,119.3878
6633,119.3878
6667,119.3878
6700,119.3878
6733,119.3878
6767,120.6704
6800,120.6704
6833,120.0
6867,120.0
6900,120.0
6933,121.875
6967,121.875
7000,121.875
7033,121.875
7067,121.875
7100,121.875
7133,121.875
7167,121.875
7200,121.875
7233,121.875
7267,123.5294
7300,129.2818
7333,129.2818
7367,129.2818
7400,129.2818
7433,129.2818
7467,129.2818
7500,129.2818
7533,129.2818
7567,129.2818
7600,129.2818
7633,129.2818
7667,129.2818
7700,129.2818
7733,129.2818
7767,128.5714
7800,128.5714
7833,128.5714
7867,128.5714
7900,128.5714
7933,128.5714
7967,128.5714
8000,128.5714
8033,128.5714
8067,130.0
8100,130.0
8133,130.0
8167,130.0
8200,130.0
8233,129.8969
8267,129.8969
8300,129.8969
8333,129.8969
8367,129.8969
8400,129.8969
8433,129.8969
8467,130.0
8500,130.0
8533,129.8969
8567,129.8969
8600,130.7263
8633,130.7263
8667,130.7263
8700,129.2818
8733,129.2818
8767,129.2818
8800,129.2818
8833,129.2818
8867,129.2818
8900,129.2818
8933,129.2818
8967,125.3731
9000,125.3731
9033,125.3731
9067,125.3731
9100,126.4865
9133,126.4865
9167,126.4865
9200,126.4865
9233,126.4865
9267,126.4865
9300,126.4865
9333,126.4865
9367,126.4865
9400,126.4865
9433,126.4865
9467,116.7568
9500,116.7568
9533,115.8416
9567,115.8416
9600,115.8416
9633,114.8936
9667,114.8936
9700,114.8936
9733,114.8936
9767,114.8936
9800,114.8936
9833,114.8936
9867,114.8936
9900,114.8936
9933,114.8936
9967,114.8936
10000,114.8936
10033,114.8936
10067,114.8936
10100,112.5
10133,112.5
10167,112.5
10200,110.2041
10233,112.5
10267,109.0909
10300,109.0909
10333,109.0909
10367,109.0909
10400,109.0909
10433,109.0909
10467,109.0909
10500,107.6087
10533,107.6087
10567,107.6087
10600,107.6087
10633,107.6087
10667,107.6087
10700,107.6087
10733,107.6087
10767,107.6087
10800,107.6087
10833,107.6087
10867,106.9307
10900,107.4627
10933,107.4627
10967,106.4516
11000,106.4516
11033,106.4516
11067,106.4516
11100,106.4516
11133,106.4516
11167,106.4516
11200,106.4516
11233,106.4516
11267,106.4516
11300,106.4516
11333,106.4516
11367,106.4516
11400,106.4516
11433,105.8824
11467,104.2105
11500,104.2105
11533,104.2105
11567,104.2105
11600,104.2105
11633,104.2105
11667,104.2105
11700,104.2105
11733,104.2105
11767,104.2105
11800,104.2105
11833,104.2105
11867,104.2105
11900,104.2105
11933,100.5587
11967,100.5587
12000,100.5587
12033,100.5076
12067,100.5076
12100,100.5076
12133,100.5076
12167,100.5076
12200,100.5076
12233,100.5076
12267,100.5076
12300,99.44752
12333,99.44752
12367,99.44752
12400,99.44752
12433,99.44752
12467,99.44752
12500,99.44752
12533,99.44752
12567,99.44752
12600,99.44752
12633,99.44752
12667,99.44752
12700,98.50746
12733,98.50746
12767,98.50746
12800,98.50746
12833,98.36066
12867,98.36066
12900,98.36066
12933,98.36066
12967,98.36066
13000,98.36066
13033,98.36066
13067,98.36066
13100,98.36066
13133,98.36066
13167,98.36066
