Time[ms],HR[bpm]
833,78.68852
867,77.77778
900,77.83784
933,77.83784
967,77.83784
1000,77.83784
1033,77.83784
1067,77.83784
1100,77.83784
1133,77.83784
1167,77.83784
1200,77.83784
1233,77.83784
1267,77.83784
1300,77.83784
1333,77.83784
1367,77.83784
1400,77.83784
1433,77.83784
1467,77.83784
1500,77.83784
1533,77.83784
1567,75.0
1600,75.0
1633,75.0
1667,75.0
1700,75.0
1733,75.0
1767,75.0
1800,75.0
1833,75.0
1867,75.0
1900,75.0
1933,75.0
1967,75.0
2000,75.0
2033,75.0
2067,75.0
2100,75.0
2133,73.25581
2167,73.25581
2200,73.25581
2233,73.25581
2267,73.25581
2300,73.25581
2333,73.25581
2367,73.25581
2400,73.25581
2433,73.25581
2467,73.25581
2500,73.25581
2533,73.25581
2567,72.72726999999998
2600,72.72726999999998
2633,72.72726999999998
2667,72.72726999999998
2700,72.72726999999998
2733,72.72726999999998
2767,72.72726999999998
2800,72.83237
2833,72.83237
2867,72.83237
2900,72.83237
2933,72.83237
2967,72.83237
3000,72.83237
3033,72.83237
3067,72.83237
3100,72.83237
3133,72.83237
3167,72.83237
3200,72.83237
3233,72.83237
3267,72.83237
3300,72.83237
3333,72.83237
3367,73.09644
3400,73.09644
3433,73.09644
3467,73.09644
3500,73.09644
3533,73.09644
3567,73.09644
3600,73.09644
3633,70.0
3667,70.0
3700,70.0
3733,70.0
3767,70.0
3800,70.0
3833,70.0
3867,70.0
3900,70.0
3933,70.0
3967,70.0
4000,70.0
4033,70.0
4067,70.0
4100,70.0
4133,70.0
4167,70.0
4200,76.05634
4233,76.05634
4267,76.05634
4300,76.05634
4333,76.05634
4367,73.25581
4400,73.25581
4433,73.25581
4467,73.25581
4500,73.25581
4533,73.25581
4567,72.83237
4600,72.83237
4633,72.83237
4667,72.83237
4700,72.83237
4733,72.83237
4767,72.83237
4800,72.83237
4833,72.83237
4867,72.83237
4900,72.83237
4933,73.25581
4967,73.25581
5000,73.25581
5033,73.25581
5067,73.25581
5100,73.25581
5133,73.25581
5167,73.25581
5200,73.09644
5233,73.09644
5267,73.09644
5300,73.09644
5333,73.09644
5367,73.09644
5400,73.09644
5433,73.09644
5467,72.83237
5500,72.83237
5533,72.83237
5567,72.83237
5600,72.83237
5633,72.83237
5667,72.83237
5700,72.83237
5733,72.83237
5767,72.83237
5800,72.83237
5833,72.83237
5867,72.83237
5900,74.22681
5933,74.22681
5967,74.22681
6000,74.22681
6033,74.22681
